hhid,weight,account_num,account_type,district,urban,gender,age,hh_members,highest_grade_completed,mm_account_cancelled,prefer_cash,mm_trust,mm_account_telco,mm_account_telco_main,v234,agent_trust,v236,v237,v238,v240,v241,v242,v243,v244,v245,v246,mm_account
1305,202.8237,3,VSLA Account,District_C,Rural,male,35,2,primary 6,no,yes,no,Company_A Company_B,Company_A,yes,no,no,no,yes,no,no,no,yes,,no,no,yes
1306,2840.6148,1,SACCO Account,District_C,Rural,male,18,5,primary 5,no,yes,no,,,,,,,,,,,,,,,no
1306,2840.6148,2,VSLA Account,District_C,Rural,male,18,5,primary 5,no,yes,no,,,,,,,,,,,,,,,no
1307,406.1418,1,VSLA Account,District_B,Rural,female,35,4,university,no,yes,no,Company_A Company_B,Company_A,yes,no,yes,yes,yes,no,yes,no,yes,yes,yes,no,yes
1308,1027.9035,1,Mobile Money,District_B,Rural,male,18,6,secondary 3,yes,yes,no,,,,no,,no,no,no,no,no,yes,,no,no,no
1308,1027.9035,2,VSLA Account,District_B,Rural,male,18,6,secondary 3,yes,yes,no,,,,no,,no,no,no,no,no,yes,,no,no,no
1309,509.47879,1,None,District_A,Urban,male,24,3,secondary 3,no,yes,no,Company_A Company_B,Company_A,yes,no,no,no,yes,no,no,yes,yes,yes,no,no,yes
1310,152.79772,1,VSLA Account,District_B,Rural,male,33,7,primary 2,no,yes,,Company_A,,,yes,,yes,yes,no,yes,no,no,,no,no,yes
1311,336.50332,1,None,District_C,Rural,male,34,4,primary 3,no,no,no,Company_B,,no,no,,no,yes,no,yes,no,yes,,no,no,yes
1312,202.42778,1,Mobile Money,District_C,Rural,male,31,4,primary 6,no,yes,no,,,,,,,,,,,,,,,no
1312,202.42778,2,SACCO Account,District_C,Rural,male,31,4,primary 6,no,yes,no,,,,,,,,,,,,,,,no
1312,202.42778,3,VSLA Account,District_C,Rural,male,31,4,primary 6,no,yes,no,,,,,,,,,,,,,,,no
1313,183.92381,1,None,District_A,Rural,male,25,9,university,no,yes,no,Company_A,,yes,yes,yes,yes,yes,no,no,no,yes,yes,no,yes,yes
1314,89.386667,1,Mobile Money,District_B,Rural,male,44,7,primary 2,no,yes,no,Company_B,,,,,no,no,no,no,no,no,,no,no,yes
1314,89.386667,2,Bank Account,District_B,Rural,male,44,7,primary 2,no,yes,no,Company_B,,,,,no,no,no,no,no,no,,no,no,yes
1314,89.386667,3,VSLA Account,District_B,Rural,male,44,7,primary 2,no,yes,no,Company_B,,,,,no,no,no,no,no,no,,no,no,yes
1315,59.073857,1,Mobile Money,District_A,Rural,male,42,5,primary 4,no,yes,no,,,,,,,,,,,,,,,no
1315,59.073857,2,Bank Account,District_A,Rural,male,42,5,primary 4,no,yes,no,,,,,,,,,,,,,,,no
1315,59.073857,3,SACCO Account,District_A,Rural,male,42,5,primary 4,no,yes,no,,,,,,,,,,,,,,,no
1315,59.073857,4,VSLA Account,District_A,Rural,male,42,5,primary 4,no,yes,no,,,,,,,,,,,,,,,no
1316,324.57143,1,Mobile Money,District_A,Urban,female,49,5,primary 6,no,yes,no,Company_A,,yes,,yes,yes,no,yes,yes,no,yes,yes,no,no,yes
1316,324.57143,2,VSLA Account,District_A,Urban,female,49,5,primary 6,no,yes,no,Company_A,,yes,,yes,yes,no,yes,yes,no,yes,yes,no,no,yes
1317,229.13024,1,Mobile Money,District_C,Rural,female,47,2,primary 3,no,yes,no,Company_B,,no,no,no,no,no,no,yes,no,no,,no,no,yes
1317,229.13024,2,VSLA Account,District_C,Rural,female,47,2,primary 3,no,yes,no,Company_B,,no,no,no,no,no,no,yes,no,no,,no,no,yes
1318,317.89512,1,SACCO Account,District_C,Urban,female,39,5,secondary 6,no,yes,no,Company_B,,yes,no,no,no,yes,no,no,no,yes,,yes,no,yes
1318,317.89512,2,VSLA Account,District_C,Urban,female,39,5,secondary 6,no,yes,no,Company_B,,yes,no,no,no,yes,no,no,no,yes,,yes,no,yes
1319,135.28433,1,Mobile Money,District_A,Urban,female,27,7,secondary 5,no,yes,no,Company_A Company_B,Company_A,yes,no,no,yes,yes,no,yes,no,yes,,no,no,yes
1319,135.28433,2,Bank Account,District_A,Urban,female,27,7,secondary 5,no,yes,no,Company_A Company_B,Company_A,yes,no,no,yes,yes,no,yes,no,yes,,no,no,yes
1320,423.86015,1,Mobile Money,District_C,Urban,female,31,7,university,no,yes,no,Company_A Company_B,Company_B,yes,no,,yes,yes,yes,yes,no,yes,,no,no,yes
1321,355.65987,1,VSLA Account,District_A,Urban,female,22,2,primary 6,yes,yes,yes,,,,yes,,no,no,no,no,no,no,,no,no,no
1322,615.52535,1,Mobile Money,District_C,Rural,female,52,4,,yes,yes,no,,,,,,no,yes,no,,,no,,no,no,no
1322,615.52535,2,VSLA Account,District_C,Rural,female,52,4,,yes,yes,no,,,,,,no,yes,no,,,no,,no,no,no
1323,160.95894,1,Mobile Money,District_A,Urban,female,19,5,secondary 6,no,,,,,,,,,,,,,,,,,no
1323,160.95894,2,SACCO Account,District_A,Urban,female,19,5,secondary 6,no,,,,,,,,,,,,,,,,,no
1324,164.56691,1,SACCO Account,District_C,Rural,female,52,2,primary 2,no,no,no,Company_A Company_B,Company_B,yes,no,,no,yes,no,yes,no,no,,no,no,yes
1324,164.56691,2,VSLA Account,District_C,Rural,female,52,2,primary 2,no,no,no,Company_A Company_B,Company_B,yes,no,,no,yes,no,yes,no,no,,no,no,yes
